"","coeffAcVsAa","seAcVsAa","coeffAgVsAa","seAgVsAa"
"(Intercept)",72.2611413757633,7.69456348779666,30.5833841825685,3.11949293273044
"lon.centroid",-12.433592551406,12.7414692276459,-18.2762197725066,3.57185263634219
"lat.centroid",-186.637660240017,12.6824808124185,-45.3232449014641,3.59671081183267
"ppw",-8.54044706671219,5.5593449759343,-19.1867686915646,2.43384083688704
"elev",-3.09075139454212,13.4959213928546,0.78067699511559,4.15290763387116
"d2c",-35.8512008812069,5.61226494962478,4.57027126962376,2.36094590936225
"PRECTOTCORR1m",81.1777520398845,9.03497448253273,127.800592474554,8.72191748644168
"T2M1m",23.2453526448629,14.2027131633454,-7.19585420444309,7.34144553508045
"RH2M1m",-81.8066351108816,6.09314786171992,-41.5482336870974,3.04908360392038
"hpd",39.3588917099122,4.96975624132801,60.3139208182909,3.24956787633507
"I(lon.centroid^2)",-163.937443677624,9.24763891374581,9.40508706979263,1.33186233330134
"I(lat.centroid^2)",85.1218186580638,11.9980050917576,6.95790186757801,2.0496195630223
"I(ppw^2)",-1.27904001389664,0.688457513563666,-1.73785125560121,0.255920430492048
"I(elev^2)",-65.3834400808832,7.03892525119573,-5.65113456349257,2.01733311129832
"I(hpd^2)",-10.3208292156697,0.729303675416052,-10.8144354729681,0.461629139980097
"I(PRECTOTCORR1m^2)",2.14711926316203,6.95001443883997,28.2210940676219,5.5885713041784
"I(T2M1m^2)",-63.4345495199861,11.6857095860939,9.31700044115948,4.28473376423162
"I(RH2M1m^2)",8.99351265271933,3.37363282162159,21.0496070662526,2.03535284856162
"origin.year",0.677663387642972,0.881675978152962,1.2196477699186,0.264265993549521
"ITN",4.56523295227433,1.31494590249429,2.85367919846078,0.319843291628442
"lon.centroid:lat.centroid",53.6120849549147,15.5668077389412,47.014441951813,2.25829218959588
"lon.centroid:elev",63.3380808015825,16.5017117001967,-22.4202908041698,2.24549463628901
"lon.centroid:d2c",45.5255082604984,7.57994951415423,-10.4701640520357,1.33207310082689
"lon.centroid:PRECTOTCORR1m",-63.2296601011726,9.36709740210716,-14.3342662201264,2.31833268248337
"lon.centroid:T2M1m",15.3926207990026,13.3389883476602,-27.3912714186706,2.93568548596012
"lon.centroid:RH2M1m",54.0200852318745,8.08505987524958,4.56542262710968,1.98471824804606
"lon.centroid:hpd",-14.6733362747497,4.98365810790186,-16.1038441282297,1.57824505566855
"lat.centroid:ppw",-7.82568366590134,2.92532671730558,9.47838870044064,1.09613013028812
"lat.centroid:elev",111.833686032129,13.4303926108446,7.93877725096555,3.79348612183854
"lat.centroid:d2c",3.3507780640676,6.99538376263449,-16.0723966584574,2.75762243395621
"lat.centroid:T2M1m",102.407250833362,17.8164074121548,-16.0008855148231,4.49226138791853
"lat.centroid:hpd",-4.49501991050157,5.27690687994712,-32.326178635336,2.31376853896741
"ppw:elev",11.7759957812359,5.16901942389362,13.6143016097058,1.21781705919499
"ppw:d2c",2.22469935162914,1.54651133147054,-7.93853222962949,0.643655618550491
"ppw:PRECTOTCORR1m",-10.4719350430732,2.63295168027689,-9.59364280263728,1.44266148679276
"ppw:T2M1m",-0.7462769616457,5.15983307299054,23.2882811392173,2.40761999780677
"ppw:RH2M1m",15.933502541151,3.21571109024896,7.38868628701529,1.49891286044613
"ppw:hpd",9.61869276926748,0.76438860012286,8.57826770624499,0.535377471468716
"elev:d2c",9.39606260134576,4.9203902680468,17.8900592036067,1.23290757221705
"elev:PRECTOTCORR1m",86.4627027977873,10.1474242784555,-14.785951606521,3.50533092486068
"elev:T2M1m",-122.530106711152,16.2010276047422,-5.41121499083876,4.98085710755834
"elev:hpd",3.20158126962152,3.15079663985361,-27.346992227029,1.71025730632075
"d2c:PRECTOTCORR1m",-75.0164001658089,6.45098388773782,-21.1957103274649,3.16502688844164
"d2c:RH2M1m",50.8824490006398,4.50667675042827,10.5047374209083,2.16541899376552
"d2c:hpd",-14.8917891768723,1.87862506093532,1.26366093299982,0.956503764082116
"PRECTOTCORR1m:T2M1m",9.13097834690165,9.51286317813439,-79.3630424470016,6.81947703062306
"PRECTOTCORR1m:RH2M1m",-52.4421519752878,13.0237364258375,-90.205918915679,8.58132186479373
"T2M1m:RH2M1m",44.0007680505276,6.46666888536865,26.7677894926803,3.03296926419026
"T2M1m:hpd",-42.408472730606,4.41120668673479,-54.2314460347694,2.76419382797724
"RH2M1m:hpd",-0.518719472482299,2.16747154524266,-7.77906337602828,1.23857648882035
"origin.year:ITN",-0.387744460884286,1.94515262575558,-4.53825162812043,0.49342640210785
