"","coeffAcVsAa","coeffAgVsAa","seAcVsAa","seAgVsAa"
"(Intercept)",-630.660944574172,-117.032871298511,1.68658498417629e-05,2.14492985657393e-05
"lon.centroid",-0.347355196248857,-0.803771204419865,0.0370408701183115,0.0176125820660251
"lat.centroid",-1.65949198403206,-1.11959292747998,0.0125068425338123,0.00481202918670611
"d2r",2.67301848757749,1.69594520439569,0.00183025640570343,0.00195043750775676
"pop",2.89501271430214,0.770426592891615,0.00104039849523623,0.00349802780543444
"elev",3.97374848611733,5.21666897593532,0.00277716877058839,0.00153919405389106
"I(lon.centroid^2)",-0.0254369238315636,0.00450162986309794,0.000485246215717279,0.000107412001402089
"I(lat.centroid^2)",0.0179627621129483,-0.00922854960449382,0.00274134457436881,0.00119653267032111
"I(d2r^2)",-0.0600190388652914,-0.0283234896209885,0.00726311749471003,0.00492653084153944
"I(pop^2)",-0.0111299341510223,-0.0734823605803019,0.00689874664250695,0.00445091515494063
"I(elev^2)",-0.387180350996281,-0.0694822854310249,0.0214738197119083,0.0109068785019836
"origin.year",0.304903223272746,0.051664023017764,0.000133083068005503,7.87006378013514e-05
"lon.centroid:lat.centroid",-0.0281331609075604,0.0279536052283098,0.00173775741276659,0.000463327202324846
"lon.centroid:d2r",0.0459673824737164,0.0309188920047287,0.00398454558590035,0.00167245406001248
"lon.centroid:pop",-0.113420873544396,-0.00473099803171286,0.0029014386459608,0.00115003425283526
"lon.centroid:elev",0.119431477876519,-0.0148782959057047,0.00503943826475927,0.00160807484186805
"lat.centroid:d2r",0.112791833615164,0.0589688208826982,0.00752756907659559,0.00449753298491649
"lat.centroid:pop",-0.266801349986945,-0.101283879092904,0.00736545438695487,0.00389861279572529
"lat.centroid:elev",0.160500509553318,-0.0139816053706661,0.0117347918272864,0.00523669624205795
"d2r:pop",-0.16310060583757,0.108949303103233,0.0118031433555037,0.00778051639850189
"d2r:elev",-0.3619771532034,-0.379033463584946,0.0203353774988176,0.0124026279727283
"pop:elev",0.394342911244502,0.0180068977583183,0.0137089891572946,0.00921488075534633
